designation;d_in;d_out;b;c;c_0;n_max
-;[mm];[mm];[mm];[Mpa];[Mpa];[rpm]
6000;10;26;8;4,75;1,96;40000
6200;10;30;9;5,4;2,36;36000
6300;10;35;11;8,52;3,4;32000
6001;12;28;8;5,4;2,36;38000
61801;12;21;5;1,74;0,915;43000
61901;12;24;6;2,91;1,46;40000
6201;12;32;10;7,28;3,1;32000
6301;12;37;12;10,1;4,15;28000
16002;15;32;8;5,85;2,85;32000
6002;15;32;9;5,85;2,85;32000
61802;15;24;5;1,9;1,1;38000
61902;15;28;7;4,36;2,24;34000
6202;15;35;11;8,06;3,75;28000
6302;15;42;13;11,9;5,4;24000
16003;17;35;8;6,37;3,25;28000
6003;17;35;10;6,37;3,25;28000
61803;17;26;5;2,03;1,27;34000
61903;17;30;7;4,62;2,55;32000
6203;17;40;12;9,95;4,75;24000
6303;17;47;14;14,3;6,55;22000
16004;20;42;8;7,28;4,05;24000
6004;20;42;12;9,95;5;24000
61804;20;32;7;4,03;2,32;28000
61904;20;37;9;6,37;3,65;26000
6204;20;47;14;13,5;6,55;20000
6304;20;52;15;16,8;7,8;19000
16005;25;47;8;8,06;4,75;20000
6005;25;47;12;11,9;6,55;20000
61805;25;37;7;4,36;2,6;24000
61905;25;42;9;7,02;4,3;22000
6205;25;52;15;14,8;7,8;18000
6305;25;62;17;23,4;11,6;16000
16006;30;55;9;11,9;7,35;17000
6006;30;55;13;13,8;8,3;17000
61806;30;42;7;4,1;2,9;20000
61906;30;47;9;7,28;4,55;19000
6206;30;62;16;20,3;11,2;15000
6306;30;72;19;29,6;16;13000
16007;35;62;9;13;8,15;15000
6007;35;62;14;16,8;10,2;15000
61807;35;47;7;4,36;3,35;18000
61907;35;55;10;10,8;7,8;16000
6207;35;72;17;27;15,3;13000
6307;35;80;21;35,1;19;12000
16008;40;68;9;13,8;10,2;14000
6008;40;68;15;17,8;11;14000
61808;40;52;7;4,49;3,75;16000
61908;40;62;12;13,8;10;14000
6208;40;80;18;32,5;19;11000
6308;40;90;23;42,3;24;11000
16009;45;75;10;16,5;10,8;12000
6009;45;75;16;22,1;14,6;12000
61809;45;58;7;6,63;6,1;14000
61909;45;68;12;14;10,8;13000
6209;45;85;19;35,1;21,6;11000
6309;45;100;25;55,3;31,5;9500
16010;50;80;10;16,8;11,4;11000
6010;50;80;16;22,9;16;11000
61810;50;65;7;6,76;6,8;13000
61910;50;72;12;14,6;11,8;12000
6210;50;90;20;37,1;23,2;10000
6310;50;110;27;65;38;13000
